"player_id","sc_id","player_name","team_abbrev","jersey","pos1","pos2","avg","age","games","P1_SC","P1_TOG","P1_P85","P2_SC","P2_TOG","P2_P85","injury","P_AVG"
992472,484,"Oscar McDonald","MEL","28","DEF",,49.17,23,"74",21,100,18,45,93,41,,29.5
291533,485,"Tom McDonald","MEL","25","FWD",,71.27,27,"161",139,94,126,50,89,48,,87
280824,486,"Jake Melksham","MEL","18","FWD",,66.25,28,"168",64,85,64,81,85,81,,72.5
296420,487,"Alex Neal-Bullen","MEL","30","FWD",,61.43,23,"73",23,68,29,81,71,97,,63
1004695,488,"Aaron Nietschke","MEL","27","MID",,0,19,"",,,,,,,,
996701,489,"Clayton Oliver","MEL","13","MID",,109.36,22,"82",136,83,139,84,82,87,,113
298210,490,"Christian Petracca","MEL","5","FWD",,81.27,23,"85",188,86,186,72,89,69,,127.5
1008893,491,"Harrison Petty","MEL","35","DEF","FWD",53.1,20,"11",,,,,,,,
992644,492,"Braydon Preuss","MEL","21","RUC","FWD",67.43,24,"15",,,,,,,"Knee: 4-6 weeks (2020-03-10)",
1009378,493,"Trent Rivers","MEL","24","DEF","MID",0,18,"",,,,,,,,
296359,494,"Christian Salem","MEL","3","DEF",,90.45,24,"90",87,83,89,,,,,89
1003546,495,"Joel Smith","MEL","44","DEF",,0,23,"11",,,,,,,,
1002282,496,"Charlie Spargo","MEL","9","FWD",,43.13,20,"26",33,67,42,57,76,64,,53
999391,497,"Tom Sparrow","MEL","32","FWD",,48,19,"2",77,60,109,,,,,109
291819,498,"Adam Tomlinson","MEL","20","MID",,71.86,26,"136",72,91,67,120,93,110,,88.5
297990,499,"Aaron vandenBerg","MEL","22","FWD","MID",0,27,"35",100,71,120,9,28,27,"Foot: TBC (2020-03-10)",73.5
291902,500,"Jack Viney","MEL","7","MID",,80.9,25,"119",120,70,146,133,73,155,,150.5
993940,501,"Corey Wagner","MEL","40","FWD","MID",56.73,22,"19",,,,,,,,
294675,502,"Josh Wagner","MEL","42","DEF",,61.17,25,"40",0,0,,,,,,
993806,503,"Sam Weideman","MEL","26","FWD",,58.82,22,"31",82,81,86,38,65,50,"Ankle: Test (2020-03-10)",68
298271,504,"Paul Ahern","NTH","15","DEF","MID",69.14,23,"18",45,57,67,53,67,67,,67
291861,505,"Jed Anderson","NTH","3","MID",,86.59,25,"62",76,70,92,119,71,142,,117
